id_curso,id_usuario,semestre
13562,11015,16
13561,10055,16
11356,10708,16
11357,5867,16
10209,11468,16
10244,7658,16
11378,7745,16
13562,11045,16
10209,11256,16
11356,10815,16
13002,11540,16
12273,11428,16
12274,10269,16
10213,9373,16
8852,9705,16
10211,9705,16
10228,4557,16
8798,7714,16
10216,7708,16
8799,11096,16
10211,9667,16
12273,11101,16
11356,11540,16
11357,9666,16
12274,9372,16
10231,5843,16
10248,9449,16
8799,11069,16
8798,10055,16
11357,10053,16
13562,10979,16
10211,7725,16
10216,7727,16
13562,11694,16
13562,10835,16
11356,11096,16
13002,11531,16
13012,5866,16
8799,11737,16
13562,10652,16
13561,7729,16
11356,11069,16
12274,9980,16
10213,9665,16
12273,10823,16
13002,11349,16
10209,11540,16
11356,11737,16
13002,11428,16
12274,9664,16
8852,5893,16
13562,10982,16
12273,10815,16
13002,10945,16
10248,9375,16
10211,10057,16
8798,9981,16
8852,9449,16
11357,10269,16
13562,11340,16
10213,9667,16
13561,9982,16
12273,11096,16
12273,10979,16
8798,5893,16
13562,9493,16
13561,7721,16
11357,10405,16
11356,11101,16
13562,10857,16
13562,9706,16
8798,7728,16
11357,9372,16
8798,9449,16
10213,10055,16
13561,5867,16
12273,10652,16
11365,7728,16
11357,10463,16
10248,9705,16
11378,9374,16
10209,11349,16
13002,11101,16
13004,9665,16
10209,11428,16
8799,11694,16
11365,5843,16
11357,9980,16
10248,7745,16
13032,9706,16
12273,10739,16
13562,11700,16
8798,7721,16
10209,10945,16
10209,11101,16
12273,10982,16
8797,10269,16
13561,10053,16
11357,9664,16
13645,7725,16
10211,7693,16
13562,11468,16
12274,9667,16
13002,10823,16
8799,10979,16
13562,11536,16
8799,10739,16
8797,10405,16
13561,5859,16
8798,9665,16
8799,10835,16
12273,11069,16
10213,9981,16
13002,10708,16
8798,5866,16
10213,7729,16
8899,9492,16
8799,10652,16
11356,10979,16
11356,10739,16
13002,10815,16
10213,9982,16
12274,10057,16
10216,7728,16
11356,11694,16
11357,7714,16
12273,11737,16
8813,7711,16
11356,10835,16
8852,7745,16
10211,7745,16
13561,7708,16
8797,9980,16
13004,10056,16
11356,10652,16
13002,10739,16
12274,9981,16
12274,10463,16
13561,10056,16
13561,10269,16
8813,7703,16
8799,10982,16
13561,7727,16
10211,7658,16
8797,9374,16
12273,11015,16
13012,7721,16
8852,10413,16
13561,9980,16
8799,11340,16
10209,10823,16
10292,9710,16
11378,10413,16
13561,10405,16
13002,11096,16
13645,9373,16
12273,11536,16
11356,10857,16
12273,11045,16
8852,10454,16
8872,5893,16
13561,9372,16
11356,10982,16
13002,11069,16
10209,10708,16
13562,11531,16
8799,10857,16
11414,9710,16
10213,10053,16
13561,10463,16
10211,10405,16
11357,9667,16
12274,9373,16
8798,10413,16
10209,10815,16
8798,10056,16
8799,11468,16
13002,10982,16
13002,11737,16
13562,11349,16
8799,11536,16
13004,9982,16
8797,9666,16
10209,11096,16
10209,10979,16
13013,7658,16
10209,10739,16
11378,10454,16
8797,9377,16
11357,10057,16
8799,11700,16
12273,11694,16
10211,7729,16
12283,4557,16
10213,9494,16
13561,9664,16
13004,5867,16
11356,11468,16
8799,11015,16
13012,5859,16
11357,9981,16
12274,9665,16
8798,10454,16
13562,9494,16
13561,7711,16
13562,11428,16
11356,11700,16
8852,9374,16
13012,7727,16
13002,11536,16
8799,11045,16
10209,11069,16
11356,11015,16
8798,9982,16
12273,11531,16
11378,9375,16
13562,10945,16
8797,9669,16
11365,4557,16
8909,9706,16
13561,7703,16
13561,7714,16
10209,10982,16
10209,11737,16
11356,11536,16
12273,10835,16
12273,10857,16
10213,10405,16
13004,10053,16
13012,7708,16
11356,11045,16
13002,11015,16
10211,9374,16
10248,10413,16
11357,9373,16
13561,9667,16
8799,11531,16
8797,10057,16
13002,11045,16
10213,10056,16
8821,4557,16
12273,11340,16
13562,11256,16
10211,9666,16
11357,7693,16
10213,10269,16
11378,9705,16
8852,9377,16
10211,9377,16
13562,11101,16
12273,10945,16
12273,11700,16
13562,9710,16
11378,9377,16
10213,9980,16
8797,9981,16
10209,11536,16
13562,10823,16
8798,10053,16
12273,11468,16
11356,9666,16
10213,9664,16
13004,10463,16
13002,10979,16
13012,7711,16
10248,10454,16
11357,9665,16
13002,11694,16
8797,9449,16
8798,5859,16
13002,10835,16
13562,10815,16
10209,11015,16
8797,9664,16
13002,10652,16
8799,11349,16
8852,9669,16
8873,5893,16
11356,11531,16
13561,10057,16
8799,11428,16
8899,9493,16
10209,11045,16
10209,11694,16
13562,10708,16
13562,11540,16
12273,11256,16
11356,11349,16
8798,7708,16
13561,9981,16
8799,10945,16
8828,4557,16
14579,10413,16
8799,11101,16
10213,5867,16
11356,11428,16
13562,9492,16
11378,9449,16
12274,9982,16
13562,11096,16
8798,10269,16
8798,7727,16
8798,5843,16
13562,10739,16
10216,7721,16
14579,10454,16
13004,9372,16
13002,11340,16
10248,9374,16
13562,11069,16
8799,11256,16
10209,11531,16
8798,9980,16
11356,10945,16
8797,9375,16
11357,4557,16
11357,10055,16
13004,7703,16
12273,10708,16
10209,10835,16
10213,9492,16
13002,10857,16
11357,10056,16
13562,11737,16
10209,10652,16
11356,11340,16
10248,9377,16
8798,10463,16
12274,5866,16
10209,11340,16
13561,7693,16
8799,10708,16
8797,9705,16
13002,11256,16
10213,7725,16
12273,11540,16
8798,9372,16
8797,9667,16
13002,11700,16
10209,10857,16
12274,10053,16
8797,7745,16
8799,10823,16
11356,11256,16
12273,11349,16
10216,5859,16
8909,9494,16
13002,11468,16
13141,10413,16
13561,9665,16
11357,7729,16
8799,11540,16
8798,9375,16
8797,10055,16
13561,5866,16
10211,7703,16
8798,7711,16
12274,10056,16
12318,9710,16
10213,10463,16
10211,9664,16
11357,9982,16
13004,7714,16
11356,10823,16
13141,10454,16
10209,11700,16
8852,9375,16
8799,10815,16
13012,7728,16
