"Alumno","Indicador 22"
"141.0304.370","1.99"
"201.1205.030","2.44"
"171.1205.089","2.75"
"211.1306.091","1.92"
"121.1604.485","3.52"
"181.2904.062","3.66"
"191.3503.024","2.49"
"211.0306.059","1.5"
"171.0405.032","3.47"
"191.3602.051","1.21"
"201.2503.036","2.48"
"191.0804.085","1.08"
"101.0802.420","2.28"
"201.0906.020","1.64"
"191.1205.052","3.36"
"211.2405.032","1.25"
"171.2503.030","1.78"
"201.0306.015","0.63"
"181.0405.040","1.05"
"171.0405.028","3.51"
"171.0606.032","3.08"
"201.0804.015","2.59"
"171.0906.019","1.67"
"191.1205.044","2.53"
"211.1505.048","1.42"
"191.1505.009","2.74"
"141.2502.128","2.39"
"151.0204.308","2.74"
"161.0304.756","2.71"
"171.0804.079","2.19"
"211.1106.010","2.09"
"171.1205.084","2.97"
"211.1306.049","1.66"
"201.3503.024","1.72"
"211.1006.015","2.05"
"211.1306.009","1.6"
"181.1906.058","3.2"
"191.3402.020","3.47"
"191.3602.056","1.93"
"211.1306.023","1.82"
"191.2503.033","3.12"
"181.2904.021","3.41"
"181.0706.065","2.95"
"151.2502.061","2.6"
"181.0606.053","2.91"
"191.0105.046","2.97"
"181.0804.045","2.23"
"191.0206.040","2.81"
"211.0306.037","1.45"
"181.0306.023","2.6"
"191.1505.057","3.86"
"191.2503.049","3.31"
"161.1004.124","3.48"
"191.3503.044","2.66"
"211.2904.038","1.65"
"151.0802.495","2.68"
"161.0204.336","3.32"
"201.0706.009","2.32"
"211.3402.058","2.93"
"151.3601.495","3.11"
"161.3601.451","2.5"
"201.3503.031","2.74"
"191.0405.060","3.46"
"161.1304.165","3.05"
"181.1306.036","3.61"
"201.1405.031","2.05"
"181.0306.083","2.84"
"211.1306.053","1.68"
"201.1505.017","1.98"
"191.2806.035","3.68"
"191.2806.008","3.85"
"191.1606.040","3.92"
"211.0206.016","2"
"171.0306.030","2.19"
"132.0403.036","2.72"
"161.0802.297","2.59"
"113.1004.053","2.91"
"191.1205.016","3.41"
"151.2502.066","2.28"
"171.1106.049","3.75"
"132.1304.151","2.91"
"181.0706.062","2.93"
"141.2502.125","2.53"
"211.2806.051","1.84"
"211.2806.017","1.5"
"171.0906.058","2.75"
"181.1906.035","3.64"
"161.1905.900","1.98"
"181.1606.007","4.11"
"191.2503.069","3.31"
"181.0105.005","3.21"
"201.2904.009","1.73"
"101.0704.047","2.2"
"161.0904.785","2.98"
"201.0706.019","1.43"
"191.1306.070","2.81"
"191.2405.012","3.71"
"191.3503.014","2.66"
"151.0103.174","2.34"
"201.0306.005","1.09"
"171.0606.003","2.79"
"171.0804.094","2.9"
"201.0804.005","2.33"
"161.1403.703","1.86"
"191.0306.004","3.05"
"191.1205.011","3.13"
"181.2503.025","3.32"
"181.2904.024","3.6"
"211.3402.035","1"
"171.0405.017","3.28"
"191.0804.012","2.34"
"171.2904.013","3.03"
"181.3503.011","3.61"
"211.2503.012","1.45"
"211.0906.061","1.42"
"141.0204.542","2.42"
"211.1906.004","1.57"
"191.0804.054","3.37"
"161.0904.239","2.54"
"211.1505.058","1.6"
"171.2806.019","3.14"
"201.0105.022","2.05"
"151.0304.162","2.46"
"201.0405.020","2.41"
"211.0506.004","2.09"
"132.1203.108","2.33"
"211.1306.059","1.76"
"181.2806.002","3.48"
"132.3401.490","2.62"
"181.0506.022","3.24"
"211.0506.019","1.53"
"191.0804.072","2.8"
"191.1205.071","2.72"
"181.0706.035","3.07"
"171.1205.019","3.12"
